t,value
0,1.64
1,1.81
2,1.91
3,1.82
4,1.75
5,1.6
6,1.64
7,2.04
8,2.18
9,2.0
10,2.43
11,2.32
12,2.32
13,2.34
14,2.45
15,2.43
16,2.44
17,2.74
18,2.53
19,2.48
20,2.36
21,2.38
22,2.44
23,2.59
24,2.53
25,2.48
26,2.69
27,2.69
28,2.6
29,2.37
30,2.31
31,2.37
32,2.41
33,2.55
34,2.58
35,2.37
36,2.34
37,2.55
38,2.57
39,2.52
40,2.72
41,2.65
42,2.59
43,2.59
44,2.48
45,2.35
46,2.28
47,2.33
48,2.3
49,2.42
50,2.37
51,2.44
52,2.45
53,2.38
54,2.39
55,2.32
56,2.2
57,2.3
58,2.36
59,2.32
60,2.32
61,2.31
62,2.46
63,2.35
64,2.26
65,2.47
66,2.52
67,2.34
68,2.05
69,1.51
70,0.87
71,0.34
72,0.17
73,1.07
74,0.91
75,1.31
76,1.41
77,1.91
78,1.72
79,1.88
80,1.64
81,1.71
82,2.04
83,2.14
84,2.38
85,2.39
86,2.15
87,2.28
88,2.4
89,1.97
90,1.75
91,1.86
92,1.56
93,1.79
94,2.17
95,2.14
96,2.31
97,2.37
98,2.41
99,2.52
100,2.56
101,2.22
102,2.45
103,2.44
104,2.08
105,1.73
106,2.05
107,2.05
108,2.01
109,2.15
110,2.26
111,2.36
112,2.26
113,2.06
114,2.11
115,2.23
116,2.27
117,2.42
118,2.52
119,2.44
120,2.48
121,2.59
122,2.53
123,2.51
124,2.3
125,2.2
126,2.02
127,2.26
128,2.1
129,2.2
130,2.15
131,2.15
132,2.26
133,2.14
134,2.16
135,2.14
136,2.2
137,2.22
138,2.26
139,2.27
140,2.15
141,1.96
142,1.93
143,1.79
144,1.71
145,1.65
146,1.83
147,1.8
148,1.94
149,1.8
150,1.89
151,1.7
152,1.57
153,1.46
154,1.55
155,1.57
156,1.55
157,1.4
158,1.48
159,1.62
160,1.68
161,1.54
162,1.43
163,1.46
164,1.45
165,1.63
166,1.72
167,1.97
168,1.98
169,2.05
170,2.03
171,1.96
172,1.92
173,1.81
174,1.75
175,1.79
176,1.79
177,1.83
178,1.88
179,1.86
180,2.0
181,2.11
182,2.1
183,2.05
184,2.16
185,2.09
186,2.14
187,2.13
188,2.1
189,2.14
190,2.02
191,1.96
192,1.7
193,1.88
194,1.96
195,1.9
196,1.93
197,1.73
198,1.69
199,1.7
200,1.5
201,1.52
202,1.59
