date,value
2003-01,1.64
2003-02,1.81
2003-03,1.91
2003-04,1.82
2003-05,1.75
2003-06,1.6
2003-07,1.64
2003-08,2.04
2003-09,2.18
2003-10,2.0
2003-11,2.43
2003-12,2.32
2004-01,2.32
2004-02,2.34
2004-03,2.45
2004-04,2.43
2004-05,2.44
2004-06,2.74
2004-07,2.53
2004-08,2.48
2004-09,2.36
2004-10,2.38
2004-11,2.44
2004-12,2.59
2005-01,2.53
2005-02,2.48
2005-03,2.69
2005-04,2.69
2005-05,2.6
2005-06,2.37
2005-07,2.31
2005-08,2.37
2005-09,2.41
2005-10,2.55
2005-11,2.58
2005-12,2.37
2006-01,2.34
2006-02,2.55
2006-03,2.57
2006-04,2.52
2006-05,2.72
2006-06,2.65
2006-07,2.59
2006-08,2.59
2006-09,2.48
2006-10,2.35
2006-11,2.28
2006-12,2.33
2007-01,2.3
2007-02,2.42
2007-03,2.37
2007-04,2.44
2007-05,2.45
2007-06,2.38
2007-07,2.39
2007-08,2.32
2007-09,2.2
2007-10,2.3
2007-11,2.36
2007-12,2.32
2008-01,2.32
2008-02,2.31
2008-03,2.46
2008-04,2.35
2008-05,2.26
2008-06,2.47
2008-07,2.52
2008-08,2.34
2008-09,2.05
2008-10,1.51
2008-11,0.87
2008-12,0.34
2009-01,0.17
2009-02,1.07
2009-03,0.91
2009-04,1.31
2009-05,1.41
2009-06,1.91
2009-07,1.72
2009-08,1.88
2009-09,1.64
2009-10,1.71
2009-11,2.04
2009-12,2.14
2010-01,2.38
2010-02,2.39
2010-03,2.15
2010-04,2.28
2010-05,2.4
2010-06,1.97
2010-07,1.75
2010-08,1.86
2010-09,1.56
2010-10,1.79
2010-11,2.17
2010-12,2.14
2011-01,2.31
2011-02,2.37
2011-03,2.41
2011-04,2.52
2011-05,2.56
2011-06,2.22
2011-07,2.45
2011-08,2.44
2011-09,2.08
2011-10,1.73
2011-11,2.05
2011-12,2.05
2012-01,2.01
2012-02,2.15
2012-03,2.26
2012-04,2.36
2012-05,2.26
2012-06,2.06
2012-07,2.11
2012-08,2.23
2012-09,2.27
2012-10,2.42
2012-11,2.52
2012-12,2.44
2013-01,2.48
2013-02,2.59
2013-03,2.53
2013-04,2.51
2013-05,2.3
2013-06,2.2
2013-07,2.02
2013-08,2.26
2013-09,2.1
2013-10,2.2
2013-11,2.15
2013-12,2.15
2014-01,2.26
2014-02,2.14
2014-03,2.16
2014-04,2.14
2014-05,2.2
2014-06,2.22
2014-07,2.26
2014-08,2.27
2014-09,2.15
2014-10,1.96
2014-11,1.93
2014-12,1.79
2015-01,1.71
2015-02,1.65
2015-03,1.83
2015-04,1.8
2015-05,1.94
2015-06,1.8
2015-07,1.89
2015-08,1.7
2015-09,1.57
2015-10,1.46
2015-11,1.55
2015-12,1.57
2016-01,1.55
2016-02,1.4
2016-03,1.48
2016-04,1.62
2016-05,1.68
2016-06,1.54
2016-07,1.43
2016-08,1.46
2016-09,1.45
2016-10,1.63
2016-11,1.72
2016-12,1.97
2017-01,1.98
2017-02,2.05
2017-03,2.03
2017-04,1.96
2017-05,1.92
2017-06,1.81
2017-07,1.75
2017-08,1.79
2017-09,1.79
2017-10,1.83
2017-11,1.88
2017-12,1.86
2018-01,2.0
2018-02,2.11
2018-03,2.1
2018-04,2.05
2018-05,2.16
2018-06,2.09
2018-07,2.14
2018-08,2.13
2018-09,2.1
2018-10,2.14
2018-11,2.02
2018-12,1.96
2019-01,1.7
2019-02,1.88
2019-03,1.96
2019-04,1.9
2019-05,1.93
2019-06,1.73
2019-07,1.69
2019-08,1.7
2019-09,1.5
2019-10,1.52
2019-11,1.59
