date,value
2008-07,100.0
2008-08,100.5251
2008-09,100.1238
2008-10,99.98538
2008-11,98.97539
2008-12,97.07973
2009-01,96.07569
2009-02,96.49385
2009-03,96.97369
2009-04,97.20951
2009-05,97.45218
2009-06,97.7337
2009-07,98.57322
2009-08,98.41692
2009-09,98.63766
2009-10,98.69936
2009-11,98.79442
2009-12,98.86433
2010-01,98.69022
2010-02,99.02749
2010-03,99.05217
2010-04,99.45891
2010-05,99.63166
2010-06,99.70888
2010-07,99.61153
2010-08,99.63257
2010-09,99.77013
2010-10,99.82817
2010-11,99.95248
2010-12,99.99452
2011-01,100.1664
2011-02,100.6435
2011-03,101.1398
2011-04,102.126
2011-05,102.7836
2011-06,103.2672
2011-07,103.1566
2011-08,103.248
2011-09,103.5327
2011-10,103.6899
2011-11,103.476
2011-12,103.3887
2012-01,103.1337
2012-02,103.5875
2012-03,104.0436
2012-04,104.8338
2012-05,105.1505
2012-06,105.0271
2012-07,104.8731
2012-08,104.7022
2012-09,105.2849
2012-10,105.7547
2012-11,105.7135
2012-12,105.2126
2013-01,104.9293
2013-02,105.2396
2013-03,106.1015
2013-04,106.3789
2013-05,106.2683
2013-06,106.4575
2013-07,106.713
2013-08,106.7551
2013-09,106.8835
2013-10,107.0078
2013-11,106.7322
2013-12,106.5142
2014-01,106.5051
2014-02,106.9013
2014-03,107.2966
2014-04,107.9876
2014-05,108.3436
2014-06,108.722
2014-07,108.9245
2014-08,108.882
2014-09,108.7001
2014-10,108.7819
2014-11,108.5086
2014-12,107.9227
2015-01,107.3108
2015-02,106.8058
2015-03,107.2696
2015-04,107.9081
2015-05,108.1275
2015-06,108.6786
2015-07,109.0593
2015-08,109.0666
2015-09,108.9121
2015-10,108.7426
2015-11,108.6937
2015-12,108.4643
2016-01,108.0936
2016-02,108.2723
2016-03,108.3614
2016-04,108.828
2016-05,109.344
2016-06,109.7864
2016-07,110.147
2016-08,109.9687
2016-09,110.0697
2016-10,110.3343
2016-11,110.4719
2016-12,110.3001
2017-01,110.3362
2017-02,110.9792
2017-03,111.3283
2017-04,111.4188
2017-05,111.7492
2017-06,111.8447
2017-07,111.9462
2017-08,111.869
2017-09,112.2039
2017-10,112.798
2017-11,112.7268
2017-12,112.7295
2018-01,112.6632
2018-02,113.277
2018-03,113.7907
2018-04,114.048
2018-05,114.5013
2018-06,114.9775
2018-07,115.1608
2018-08,115.1685
2018-09,115.2325
2018-10,115.3664
2018-11,115.5703
2018-12,115.1832
2019-01,114.8153
2019-02,115.0342
2019-03,115.5204
2019-04,116.1721
2019-05,116.7873
2019-06,117.0359
2019-07,117.0592
2019-08,117.2548
2019-09,117.2488
2019-10,117.3407
