date,value
2008-07-24,100.0
2008-07-25,100.0
2008-07-26,100.0
2008-07-27,100.0
2008-07-28,100.0
2008-07-29,100.0
2008-07-30,100.0
2008-07-31,100.0
2008-08-01,100.5251
2008-08-02,100.5251
2008-08-03,100.5251
2008-08-04,100.5251
2008-08-05,100.5251
2008-08-06,100.5251
2008-08-07,100.5251
2008-08-08,100.5251
2008-08-09,100.5251
2008-08-10,100.5251
2008-08-11,100.5251
2008-08-12,100.5251
2008-08-13,100.5251
2008-08-14,100.5251
2008-08-15,100.5251
2008-08-16,100.5251
2008-08-17,100.5251
2008-08-18,100.5251
2008-08-19,100.5251
2008-08-20,100.5251
2008-08-21,100.5251
2008-08-22,100.5251
2008-08-23,100.5251
2008-08-24,100.5251
2008-08-25,100.5251
2008-08-26,100.5251
2008-08-27,100.5251
2008-08-28,100.5251
2008-08-29,100.5251
2008-08-30,100.5251
2008-08-31,100.5251
2008-09-01,100.1238
2008-09-02,100.1238
2008-09-03,100.1238
2008-09-04,100.1238
2008-09-05,100.1238
2008-09-06,100.1238
2008-09-07,100.1238
2008-09-08,100.1238
2008-09-09,100.1238
2008-09-10,100.1238
2008-09-11,100.1238
2008-09-12,100.1238
2008-09-13,100.1238
2008-09-14,100.1238
2008-09-15,100.1238
2008-09-16,100.1238
2008-09-17,100.1238
2008-09-18,100.1238
2008-09-19,100.1238
2008-09-20,100.1238
2008-09-21,100.1238
2008-09-22,100.1238
2008-09-23,100.1238
2008-09-24,100.1238
2008-09-25,100.1238
2008-09-26,100.1238
2008-09-27,100.1238
2008-09-28,100.1238
2008-09-29,100.1238
2008-09-30,100.1238
2008-10-01,99.98538
2008-10-02,99.98538
2008-10-03,99.98538
2008-10-04,99.98538
2008-10-05,99.98538
2008-10-06,99.98538
2008-10-07,99.98538
2008-10-08,99.98538
2008-10-09,99.98538
2008-10-10,99.98538
2008-10-11,99.98538
2008-10-12,99.98538
2008-10-13,99.98538
2008-10-14,99.98538
2008-10-15,99.98538
2008-10-16,99.98538
2008-10-17,99.98538
2008-10-18,99.98538
2008-10-19,99.98538
2008-10-20,99.98538
2008-10-21,99.98538
2008-10-22,99.98538
2008-10-23,99.98538
2008-10-24,99.98538
2008-10-25,99.98538
2008-10-26,99.98538
2008-10-27,99.98538
2008-10-28,99.98538
2008-10-29,99.98538
2008-10-30,99.98538
2008-10-31,99.98538
2008-11-01,98.97539
2008-11-02,98.97539
2008-11-03,98.97539
2008-11-04,98.97539
2008-11-05,98.97539
2008-11-06,98.97539
2008-11-07,98.97539
2008-11-08,98.97539
2008-11-09,98.97539
2008-11-10,98.97539
2008-11-11,98.97539
2008-11-12,98.97539
2008-11-13,98.97539
2008-11-14,98.97539
2008-11-15,98.97539
2008-11-16,98.97539
2008-11-17,98.97539
2008-11-18,98.97539
2008-11-19,98.97539
2008-11-20,98.97539
2008-11-21,98.97539
2008-11-22,98.97539
2008-11-23,98.97539
2008-11-24,98.97539
2008-11-25,98.97539
2008-11-26,98.97539
2008-11-27,98.97539
2008-11-28,98.97539
2008-11-29,98.97539
2008-11-30,98.97539
2008-12-01,97.07973
2008-12-02,97.07973
2008-12-03,97.07973
2008-12-04,97.07973
2008-12-05,97.07973
2008-12-06,97.07973
2008-12-07,97.07973
2008-12-08,97.07973
2008-12-09,97.07973
2008-12-10,97.07973
2008-12-11,97.07973
2008-12-12,97.07973
2008-12-13,97.07973
2008-12-14,97.07973
2008-12-15,97.07973
2008-12-16,97.07973
2008-12-17,97.07973
2008-12-18,97.07973
2008-12-19,97.07973
2008-12-20,97.07973
2008-12-21,97.07973
2008-12-22,97.07973
2008-12-23,97.07973
2008-12-24,97.07973
2008-12-25,97.07973
2008-12-26,97.07973
2008-12-27,97.07973
2008-12-28,97.07973
2008-12-29,97.07973
2008-12-30,97.07973
2008-12-31,97.07973
2009-01-01,96.07569
2009-01-02,96.07569
2009-01-03,96.07569
2009-01-04,96.07569
2009-01-05,96.07569
2009-01-06,96.07569
2009-01-07,96.07569
2009-01-08,96.07569
2009-01-09,96.07569
2009-01-10,96.07569
2009-01-11,96.07569
2009-01-12,96.07569
2009-01-13,96.07569
2009-01-14,96.07569
2009-01-15,96.07569
2009-01-16,96.07569
2009-01-17,96.07569
2009-01-18,96.07569
2009-01-19,96.07569
2009-01-20,96.07569
2009-01-21,96.07569
