t,value
0,100.0
1,100.5251
2,100.1238
3,99.98538
4,98.97539
5,97.07973
6,96.07569
7,96.49385
8,96.97369
9,97.20951
10,97.45218
11,97.7337
12,98.57322
13,98.41692
14,98.63766
15,98.69936
16,98.79442
17,98.86433
18,98.69022
19,99.02749
20,99.05217
21,99.45891
22,99.63166
23,99.70888
24,99.61153
25,99.63257
26,99.77013
27,99.82817
28,99.95248
29,99.99452
30,100.1664
31,100.6435
32,101.1398
33,102.126
34,102.7836
35,103.2672
36,103.1566
37,103.248
38,103.5327
39,103.6899
40,103.476
41,103.3887
42,103.1337
43,103.5875
44,104.0436
45,104.8338
46,105.1505
47,105.0271
48,104.8731
49,104.7022
50,105.2849
51,105.7547
52,105.7135
53,105.2126
54,104.9293
55,105.2396
56,106.1015
57,106.3789
58,106.2683
59,106.4575
60,106.713
61,106.7551
