t,residuals
0,3.2706736712749773
1,3.634730187605456
2,3.072386703935962
3,2.772923220266449
4,1.601889736596931
5,-0.4548137470725919
6,-1.6198972307420973
7,-1.3627807144116133
8,-1.0439841980811195
9,-0.9692076817506319
10,-0.8875811654201442
11,-0.76710464908966
12,-0.08862813275916892
13,-0.40597161642867263
14,-0.34627510009819673
15,-0.44561858376771113
16,-0.5116020674372095
17,-0.6027355511067327
18,-0.9378890347762479
19,-0.7616625184457604
20,-0.8980260021152588
21,-0.6523294857847759
22,-0.6406229694542986
23,-0.7244464531238037
24,-0.9828399367933116
25,-1.1228434204628286
26,-1.1463269041323514
27,-1.249330387801848
28,-1.2860638714713701
29,-1.4050673551408863
30,-1.3942308388103868
31,-1.0781743224798959
32,-0.7429178061494213
33,0.08223871018107332
34,0.5787952265115734
35,0.9013517428420528
36,0.6297082591725314
37,0.5600647755030366
38,0.6837212918335211
39,0.6798778081639938
40,0.3049343244944822
41,0.056590840824981115
42,-0.3594526428445306
43,-0.06669612651404577
44,0.22836038981644435
45,0.8575169061469268
46,1.0131734224774078
47,0.728729938807902
48,0.4136864551383894
49,0.0817429714688842
50,0.5033994877993564
51,0.8121560041298466
52,0.6099125204603411
53,-0.05203096320917666
54,-0.4963744468786899
55,-0.34711793054819395
56,0.35373858578229544
57,0.4700951021127793
58,0.19845161844325787
59,0.2266081347737554
60,0.321064651104237
61,0.20212116743472563
